"TIME","SEX","AGE","GEO","UNIT","ICD10","Value","Flag and Footnotes"
"2011","Males","Total","Liechtenstein","Rate","Dementia","6.04",""
"2011","Males","Total","Norway","Rate","Dementia","36.62",""
"2011","Males","Total","Switzerland","Rate","Dementia","51.44",""
"2011","Males","Total","United Kingdom","Rate","Dementia","56.07","d"
"2011","Males","Total","Serbia","Rate","Dementia","9.37",""
"2011","Males","Total","Turkey","Rate","Dementia","0.57","d"
"2011","Males","Less than 65 years","European Union - 28 countries (2013-2020)","Rate","Dementia","0.26",""
"2011","Males","Less than 65 years","Belgium","Rate","Dementia","0.37",""
"2011","Males","Less than 65 years","Bulgaria","Rate","Dementia","0",""
"2011","Males","Less than 65 years","Czechia","Rate","Dementia","0.32",""
"2011","Males","Less than 65 years","Denmark","Rate","Dementia","0.21",""
"2011","Males","Less than 65 years","Germany (until 1990 former territory of the FRG)","Rate","Dementia","0.27",""
"2011","Males","Less than 65 years","Estonia","Rate","Dementia","0.2",""
"2011","Males","Less than 65 years","Ireland","Rate","Dementia","0.81",""
"2011","Males","Less than 65 years","Greece","Rate","Dementia","0.02",""
"2011","Males","Less than 65 years","Spain","Rate","Dementia","0.39",""
"2011","Males","Less than 65 years","France","Rate","Dementia","0.2",""
"2011","Males","Less than 65 years","Croatia","Rate","Dementia","0.18",""
"2011","Males","Less than 65 years","Italy","Rate","Dementia","0.16",""
"2011","Males","Less than 65 years","Cyprus","Rate","Dementia","0",""
"2011","Males","Less than 65 years","Latvia","Rate","Dementia","0",""
"2011","Males","Less than 65 years","Lithuania","Rate","Dementia","0",""
"2011","Males","Less than 65 years","Luxembourg","Rate","Dementia","0.51",""
"2011","Males","Less than 65 years","Hungary","Rate","Dementia","0.94",""
"2011","Males","Less than 65 years","Malta","Rate","Dementia","0.57",""
"2011","Males","Less than 65 years","Netherlands","Rate","Dementia","0.21",""
"2011","Males","Less than 65 years","Austria","Rate","Dementia","0.03",""
"2011","Males","Less than 65 years","Poland","Rate","Dementia","0.03",""
"2011","Males","Less than 65 years","Portugal","Rate","Dementia",":",""
"2011","Males","Less than 65 years","Romania","Rate","Dementia","0.01",""
"2011","Males","Less than 65 years","Slovenia","Rate","Dementia","0",""
"2011","Males","Less than 65 years","Slovakia","Rate","Dementia","0.52",""
"2011","Males","Less than 65 years","Finland","Rate","Dementia","0.27",""
"2011","Males","Less than 65 years","Sweden","Rate","Dementia","0.18",""
"2011","Males","Less than 65 years","Iceland","Rate","Dementia","0",""
"2011","Males","Less than 65 years","Liechtenstein","Rate","Dementia","0",""
"2011","Males","Less than 65 years","Norway","Rate","Dementia","0.15",""
"2011","Males","Less than 65 years","Switzerland","Rate","Dementia","0.2",""
"2011","Males","Less than 65 years","United Kingdom","Rate","Dementia","0.56",""
"2011","Males","Less than 65 years","Serbia","Rate","Dementia","0.12",""
"2011","Males","Less than 65 years","Turkey","Rate","Dementia","0.02",""
"2011","Males","65 years or over","European Union - 28 countries (2013-2020)","Rate","Dementia","125.02","d"
"2011","Males","65 years or over","Belgium","Rate","Dementia","156.08",""
"2011","Males","65 years or over","Bulgaria","Rate","Dementia","0.5",""
"2011","Males","65 years or over","Czechia","Rate","Dementia","56.55",""
"2011","Males","65 years or over","Denmark","Rate","Dementia","238.13",""
"2011","Males","65 years or over","Germany (until 1990 former territory of the FRG)","Rate","Dementia","136.33",""
"2011","Males","65 years or over","Estonia","Rate","Dementia","16.26",""
"2011","Males","65 years or over","Ireland","Rate","Dementia","147.9",""
"2011","Males","65 years or over","Greece","Rate","Dementia","3",""
"2011","Males","65 years or over","Spain","Rate","Dementia","163.07",""
"2011","Males","65 years or over","France","Rate","Dementia","112.7",""
"2011","Males","65 years or over","Croatia","Rate","Dementia","64.59",""
"2011","Males","65 years or over","Italy","Rate","Dementia","109.62",""
"2011","Males","65 years or over","Cyprus","Rate","Dementia","84.69",""
"2011","Males","65 years or over","Latvia","Rate","Dementia","32.17",""
"2011","Males","65 years or over","Lithuania","Rate","Dementia","6.89",""
"2011","Males","65 years or over","Luxembourg","Rate","Dementia","132.54",""
"2011","Males","65 years or over","Hungary","Rate","Dementia","150.27","d"
"2011","Males","65 years or over","Malta","Rate","Dementia","232.47",""
"2011","Males","65 years or over","Netherlands","Rate","Dementia","248.1",""
"2011","Males","65 years or over","Austria","Rate","Dementia","19.06",""
"2011","Males","65 years or over","Poland","Rate","Dementia","1.59",""
"2011","Males","65 years or over","Portugal","Rate","Dementia",":",""
"2011","Males","65 years or over","Romania","Rate","Dementia","0",""
"2011","Males","65 years or over","Slovenia","Rate","Dementia","0.73",""
"2011","Males","65 years or over","Slovakia","Rate","Dementia","54.13",""
"2011","Males","65 years or over","Finland","Rate","Dementia","202.12",""
"2011","Males","65 years or over","Sweden","Rate","Dementia","247.82",""
"2011","Males","65 years or over","Iceland","Rate","Dementia","134.68",""
"2011","Males","65 years or over","Liechtenstein","Rate","Dementia","30.99",""
"2011","Males","65 years or over","Norway","Rate","Dementia","187.18",""
"2011","Males","65 years or over","Switzerland","Rate","Dementia","262.98",""
"2011","Males","65 years or over","United Kingdom","Rate","Dementia","285.2","d"
"2011","Males","65 years or over","Serbia","Rate","Dementia","47.53",""
"2011","Males","65 years or over","Turkey","Rate","Dementia","2.87","d"
"2011","Females","Total","European Union - 28 countries (2013-2020)","Rate","Dementia","26.99","d"
"2011","Females","Total","Belgium","Rate","Dementia","32.08",""
"2011","Females","Total","Bulgaria","Rate","Dementia","0.21",""
"2011","Females","Total","Czechia","Rate","Dementia","10.51",""
"2011","Females","Total","Denmark","Rate","Dementia","49.98",""
"2011","Females","Total","Germany (until 1990 former territory of the FRG)","Rate","Dementia","27.01",""
"2011","Females","Total","Estonia","Rate","Dementia","2.39",""
"2011","Females","Total","Ireland","Rate","Dementia","32.75",""
"2011","Females","Total","Greece","Rate","Dementia","0.87",""
"2011","Females","Total","Spain","Rate","Dementia","34.22",""
"2011","Females","Total","France","Rate","Dementia","20.34",""
"2011","Females","Total","Croatia","Rate","Dementia","13.52",""
"2011","Females","Total","Italy","Rate","Dementia","22.67",""
"2011","Females","Total","Cyprus","Rate","Dementia","17.48",""
"2011","Females","Total","Latvia","Rate","Dementia","7.16",""
"2011","Females","Total","Lithuania","Rate","Dementia","1.44",""
"2011","Females","Total","Luxembourg","Rate","Dementia","25.11",""
"2011","Females","Total","Hungary","Rate","Dementia","28.82","d"
"2011","Females","Total","Malta","Rate","Dementia","47.83",""
"2011","Females","Total","Netherlands","Rate","Dementia","62.18",""
"2011","Females","Total","Austria","Rate","Dementia","3.72",""
"2011","Females","Total","Poland","Rate","Dementia","0.28",""
"2011","Females","Total","Portugal","Rate","Dementia","0.02",""
"2011","Females","Total","Romania","Rate","Dementia","0.01",""
"2011","Females","Total","Slovenia","Rate","Dementia",":",""
"2011","Females","Total","Slovakia","Rate","Dementia","10.96",""
"2011","Females","Total","Finland","Rate","Dementia","40.65",""
"2011","Females","Total","Sweden","Rate","Dementia","55.1",""
"2011","Females","Total","Iceland","Rate","Dementia","27.81",""
"2011","Females","Total","Liechtenstein","Rate","Dementia",":",""
"2011","Females","Total","Norway","Rate","Dementia","42.62",""
"2011","Females","Total","Switzerland","Rate","Dementia","54.62",""
"2011","Females","Total","United Kingdom","Rate","Dementia","64.07","d"
"2011","Females","Total","Serbia","Rate","Dementia","14.27",""
"2011","Females","Total","Turkey","Rate","Dementia","0.75","d"
"2011","Females","Less than 65 years","European Union - 28 countries (2013-2020)","Rate","Dementia","0.17",""
"2011","Females","Less than 65 years","Belgium","Rate","Dementia","0.25",""
"2011","Females","Less than 65 years","Bulgaria","Rate","Dementia","0.03",""
"2011","Females","Less than 65 years","Czechia","Rate","Dementia","0.22",""
"2011","Females","Less than 65 years","Denmark","Rate","Dementia","0.18",""
"2011","Females","Less than 65 years","Germany (until 1990 former territory of the FRG)","Rate","Dementia","0.16",""
"2011","Females","Less than 65 years","Estonia","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Ireland","Rate","Dementia","0.25",""
"2011","Females","Less than 65 years","Greece","Rate","Dementia","0.02",""
"2011","Females","Less than 65 years","Spain","Rate","Dementia","0.23",""
"2011","Females","Less than 65 years","France","Rate","Dementia","0.1",""
"2011","Females","Less than 65 years","Croatia","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Italy","Rate","Dementia","0.09",""
"2011","Females","Less than 65 years","Cyprus","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Latvia","Rate","Dementia","0.22",""
"2011","Females","Less than 65 years","Lithuania","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Luxembourg","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Hungary","Rate","Dementia","0.44",""
"2011","Females","Less than 65 years","Malta","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Netherlands","Rate","Dementia","0.24",""
"2011","Females","Less than 65 years","Austria","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Poland","Rate","Dementia","0.02",""
"2011","Females","Less than 65 years","Portugal","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Romania","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Slovenia","Rate","Dementia",":",""
"2011","Females","Less than 65 years","Slovakia","Rate","Dementia","0.13",""
"2011","Females","Less than 65 years","Finland","Rate","Dementia","0.11",""
"2011","Females","Less than 65 years","Sweden","Rate","Dementia","0.29",""
"2011","Females","Less than 65 years","Iceland","Rate","Dementia","0",""
"2011","Females","Less than 65 years","Liechtenstein","Rate","Dementia",":",""
"2011","Females","Less than 65 years","Norway","Rate","Dementia","0.1",""
"2011","Females","Less than 65 years","Switzerland","Rate","Dementia","0.29",""
"2011","Females","Less than 65 years","United Kingdom","Rate","Dementia","0.49",""
"2011","Females","Less than 65 years","Serbia","Rate","Dementia","0.14",""
"2011","Females","Less than 65 years","Turkey","Rate","Dementia","0.02",""
"2011","Females","65 years or over","European Union - 28 countries (2013-2020)","Rate","Dementia","137.73","d"
"2011","Females","65 years or over","Belgium","Rate","Dementia","163.5",""
"2011","Females","65 years or over","Bulgaria","Rate","Dementia","0.96",""
"2011","Females","65 years or over","Czechia","Rate","Dementia","52.99",""
"2011","Females","65 years or over","Denmark","Rate","Dementia","255.59",""
"2011","Females","65 years or over","Germany (until 1990 former territory of the FRG)","Rate","Dementia","137.83",""
"2011","Females","65 years or over","Estonia","Rate","Dementia","12.24",""
"2011","Females","65 years or over","Ireland","Rate","Dementia","166.91",""
"2011","Females","65 years or over","Greece","Rate","Dementia","4.37",""
"2011","Females","65 years or over","Spain","Rate","Dementia","174.51",""
"2011","Females","65 years or over","France","Rate","Dementia","103.86",""
"2011","Females","65 years or over","Croatia","Rate","Dementia","69.34",""
"2011","Females","65 years or over","Italy","Rate","Dementia","115.86",""
"2011","Females","65 years or over","Cyprus","Rate","Dementia","89.63",""
"2011","Females","65 years or over","Latvia","Rate","Dementia","35.83",""
"2011","Females","65 years or over","Lithuania","Rate","Dementia","7.4",""
"2011","Females","65 years or over","Luxembourg","Rate","Dementia","128.75",""
"2011","Females","65 years or over","Hungary","Rate","Dementia","145.97","d"
"2011","Females","65 years or over","Malta","Rate","Dementia","245.26",""
"2011","Females","65 years or over","Netherlands","Rate","Dementia","317.89",""
"2011","Females","65 years or over","Austria","Rate","Dementia","19.06",""
"2011","Females","65 years or over","Poland","Rate","Dementia","1.34",""
"2011","Females","65 years or over","Portugal","Rate","Dementia","0.08",""
"2011","Females","65 years or over","Romania","Rate","Dementia","0.06",""
"2011","Females","65 years or over","Slovenia","Rate","Dementia",":",""
"2011","Females","65 years or over","Slovakia","Rate","Dementia","55.64",""
"2011","Females","65 years or over","Finland","Rate","Dementia","208.01",""
"2011","Females","65 years or over","Sweden","Rate","Dementia","281.39",""
"2011","Females","65 years or over","Iceland","Rate","Dementia","142.62",""
"2011","Females","65 years or over","Liechtenstein","Rate","Dementia",":",""
"2011","Females","65 years or over","Norway","Rate","Dementia","218.16",""
"2011","Females","65 years or over","Switzerland","Rate","Dementia","278.9",""
"2011","Females","65 years or over","United Kingdom","Rate","Dementia","326.53","d"
"2011","Females","65 years or over","Serbia","Rate","Dementia","72.63",""
"2011","Females","65 years or over","Turkey","Rate","Dementia","3.8","d"
"2012","Total","Total","European Union - 28 countries (2013-2020)","Rate","Dementia","29.44","d"
"2012","Total","Total","Belgium","Rate","Dementia","37.57",""
"2012","Total","Total","Bulgaria","Rate","Dementia","0.46",""
"2012","Total","Total","Czechia","Rate","Dementia","11.09",""
"2012","Total","Total","Denmark","Rate","Dementia","50.25",""
"2012","Total","Total","Germany (until 1990 former territory of the FRG)","Rate","Dementia","31.23",""
"2012","Total","Total","Estonia","Rate","Dementia","2.74",""
"2012","Total","Total","Ireland","Rate","Dementia","39.01",""
"2012","Total","Total","Greece","Rate","Dementia","0.8",""
"2012","Total","Total","Spain","Rate","Dementia","36.68",""
"2012","Total","Total","France","Rate","Dementia","23.97",""
"2012","Total","Total","Croatia","Rate","Dementia","14.02","d"
"2012","Total","Total","Italy","Rate","Dementia","23.44",""
"2012","Total","Total","Cyprus","Rate","Dementia","17.11",""
"2012","Total","Total","Latvia","Rate","Dementia","7.91",""
"2012","Total","Total","Lithuania","Rate","Dementia","2.44",""
"2012","Total","Total","Luxembourg","Rate","Dementia","38.54",""
"2012","Total","Total","Hungary","Rate","Dementia","32.76","d"
"2012","Total","Total","Malta","Rate","Dementia","30.06",""
"2012","Total","Total","Netherlands","Rate","Dementia","64.38",""
"2012","Total","Total","Austria","Rate","Dementia","7.28",""
"2012","Total","Total","Poland","Rate","Dementia","0.41",""
"2012","Total","Total","Portugal","Rate","Dementia","0.06",""
"2012","Total","Total","Romania","Rate","Dementia",":",""
"2012","Total","Total","Slovenia","Rate","Dementia",":",""
"2012","Total","Total","Slovakia","Rate","Dementia","28.35",""
"2012","Total","Total","Finland","Rate","Dementia","43.88",""
"2012","Total","Total","Sweden","Rate","Dementia","57.28",""
"2012","Total","Total","Iceland","Rate","Dementia","24.58",""
"2012","Total","Total","Liechtenstein","Rate","Dementia",":",""
"2012","Total","Total","Norway","Rate","Dementia","46.62",""
"2012","Total","Total","Switzerland","Rate","Dementia","57.56",""
"2012","Total","Total","United Kingdom","Rate","Dementia","70.97",""
"2012","Total","Total","Serbia","Rate","Dementia","11.64",""
"2012","Total","Total","Turkey","Rate","Dementia","1.08","d"
"2012","Total","Less than 65 years","European Union - 28 countries (2013-2020)","Rate","Dementia","0.22",""
"2012","Total","Less than 65 years","Belgium","Rate","Dementia","0.3",""
"2012","Total","Less than 65 years","Bulgaria","Rate","Dementia","0",""
"2012","Total","Less than 65 years","Czechia","Rate","Dementia","0.2",""
"2012","Total","Less than 65 years","Denmark","Rate","Dementia","0.42",""
"2012","Total","Less than 65 years","Germany (until 1990 former territory of the FRG)","Rate","Dementia","0.22",""
"2012","Total","Less than 65 years","Estonia","Rate","Dementia","0.09",""
"2012","Total","Less than 65 years","Ireland","Rate","Dementia","0.26",""
"2012","Total","Less than 65 years","Greece","Rate","Dementia","0.04",""
"2012","Total","Less than 65 years","Spain","Rate","Dementia","0.32",""
"2012","Total","Less than 65 years","France","Rate","Dementia","0.16",""
"2012","Total","Less than 65 years","Croatia","Rate","Dementia","0.08",""
"2012","Total","Less than 65 years","Italy","Rate","Dementia","0.14",""
"2012","Total","Less than 65 years","Cyprus","Rate","Dementia","0",""
"2012","Total","Less than 65 years","Latvia","Rate","Dementia","0.24",""
"2012","Total","Less than 65 years","Lithuania","Rate","Dementia","0.04",""
"2012","Total","Less than 65 years","Luxembourg","Rate","Dementia","0.28",""
"2012","Total","Less than 65 years","Hungary","Rate","Dementia","0.66",""
"2012","Total","Less than 65 years","Malta","Rate","Dementia","0",""
"2012","Total","Less than 65 years","Netherlands","Rate","Dementia","0.37",""
"2012","Total","Less than 65 years","Austria","Rate","Dementia","0.05",""
"2012","Total","Less than 65 years","Poland","Rate","Dementia","0.02",""
"2012","Total","Less than 65 years","Portugal","Rate","Dementia","0",""
"2012","Total","Less than 65 years","Romania","Rate","Dementia",":",""
"2012","Total","Less than 65 years","Slovenia","Rate","Dementia",":",""
"2012","Total","Less than 65 years","Slovakia","Rate","Dementia","0.2",""
"2012","Total","Less than 65 years","Finland","Rate","Dementia","0.2",""
"2012","Total","Less than 65 years","Sweden","Rate","Dementia","0.22",""
"2012","Total","Less than 65 years","Iceland","Rate","Dementia","0",""
"2012","Total","Less than 65 years","Liechtenstein","Rate","Dementia",":",""
"2012","Total","Less than 65 years","Norway","Rate","Dementia","0.32",""
"2012","Total","Less than 65 years","Switzerland","Rate","Dementia","0.24",""
"2012","Total","Less than 65 years","United Kingdom","Rate","Dementia","0.49",""
"2012","Total","Less than 65 years","Serbia","Rate","Dementia","0.07",""
"2012","Total","Less than 65 years","Turkey","Rate","Dementia","0.01",""
"2012","Total","65 years or over","European Union - 28 countries (2013-2020)","Rate","Dementia","150.08","d"
"2012","Total","65 years or over","Belgium","Rate","Dementia","191.45",""
"2012","Total","65 years or over","Bulgaria","Rate","Dementia","2.35",""
"2012","Total","65 years or over","Czechia","Rate","Dementia","56.04",""
"2012","Total","65 years or over","Denmark","Rate","Dementia","255.99",""
"2012","Total","65 years or over","Germany (until 1990 former territory of the FRG)","Rate","Dementia","159.25",""
"2012","Total","65 years or over","Estonia","Rate","Dementia","13.69",""
"2012","Total","65 years or over","Ireland","Rate","Dementia","198.99",""
"2012","Total","65 years or over","Greece","Rate","Dementia","3.97",""
"2012","Total","65 years or over","Spain","Rate","Dementia","186.78",""
"2012","Total","65 years or over","France","Rate","Dementia","122.28",""
"2012","Total","65 years or over","Croatia","Rate","Dementia","71.58","d"
"2012","Total","65 years or over","Italy","Rate","Dementia","119.65",""
"2012","Total","65 years or over","Cyprus","Rate","Dementia","87.77",""
"2012","Total","65 years or over","Latvia","Rate","Dementia","39.57",""
"2012","Total","65 years or over","Lithuania","Rate","Dementia","12.35",""
"2012","Total","65 years or over","Luxembourg","Rate","Dementia","196.48",""
"2012","Total","65 years or over","Hungary","Rate","Dementia","165.3","d"
"2012","Total","65 years or over","Malta","Rate","Dementia","154.17",""
"2012","Total","65 years or over","Netherlands","Rate","Dementia","328.64",""
"2012","Total","65 years or over","Austria","Rate","Dementia","37.12",""
"2012","Total","65 years or over","Poland","Rate","Dementia","1.99",""
"2012","Total","65 years or over","Portugal","Rate","Dementia","0.33",""
"2012","Total","65 years or over","Romania","Rate","Dementia",":",""
"2012","Total","65 years or over","Slovenia","Rate","Dementia",":",""
"2012","Total","65 years or over","Slovakia","Rate","Dementia","144.54",""
"2012","Total","65 years or over","Finland","Rate","Dementia","224.19",""
"2012","Total","65 years or over","Sweden","Rate","Dementia","292.87",""
"2012","Total","65 years or over","Iceland","Rate","Dementia","126.04",""
"2012","Total","65 years or over","Liechtenstein","Rate","Dementia",":",""
"2012","Total","65 years or over","Norway","Rate","Dementia","237.76",""
"2012","Total","65 years or over","Switzerland","Rate","Dementia","294.18",""
